Suburb,Postcode,State,Country,Latitude,Longitude
Tjukurla,0872,Western Australia,Australia,-23.32561794,133.0557379
Wallace Rockhole,0872,Northern Territory,Australia,-24.12422943,133.0910145
Wannan,0872,Western Australia,Australia,-23.32561794,133.0557379
Willowra,0872,Northern Territory,Australia,-21.26319594,132.6191098
Wilora,0872,Northern Territory,Australia,-21.74429366,133.7264861
Wingellina,0872,Western Australia,Australia,-23.32561794,133.0557379
Wutunugurra,0872,Northern Territory,Australia,-20.46229976,135.250488
Yuelamu,0872,Northern Territory,Australia,-22.26174483,132.1994174
Yuendumu,0872,Northern Territory,Australia,-22.2666667,131.8166667
Yulara,0872,Northern Territory,Australia,-25.242047,130.98556
Heavitree Gap Cpa,0873,Northern Territory,Australia,-23.5298278,133.5020579
Flynn,0875,Northern Territory,Australia,-23.7134562,133.8355881
Larapinta,0875,Northern Territory,Australia,-23.68025812,133.831123
Gapuwiyak,0880,Northern Territory,Australia,-12.5031,135.810516
Gunyangara,0880,Northern Territory,Australia,-12.21649,136.70538
Nhulunbuy,0880,Northern Territory,Australia,-12.18165,136.77841
Yirrkala,0880,Northern Territory,Australia,-12.25492,136.88995
Nhulunbuy,0881,Northern Territory,Australia,-12.18165,136.77841
Alyangula,0885,Northern Territory,Australia,-13.85413,136.421295
Jabiru,0886,Northern Territory,Australia,-12.67048667,132.8360367
Winnellie,0906,Northern Territory,Australia,-12.42924447,130.8859484
Winnellie,0907,Northern Territory,Australia,-12.42924447,130.8859484
Charles Darwin University,0909,Northern Territory,Australia,-12.373101,130.868103
Sydney,1001,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1002,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1003,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1004,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1005,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1006,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1007,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1008,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1009,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1010,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1011,New South Wales,Australia,-33.86784996,151.2073231
Sydney,1020,New South Wales,Australia,-33.86784996,151.2073231
